#START7777
# YYMMDDHHMI   STN IW IR IX CH VV CA  WD   WS    TA    TD    HM     PA     PS PT     PR     RN RH WC WP CD CL CM CT  S19    TM    Tm  S33  S34  S35  S36  S37  S28  S29
#        UTC    ID -- -- -- -- --  8 deg  m/s     C     C     %    hPa    hPa --    hPa     mm 6h -- --  8 -- -- -- ----     C     C ---- ---- ---- ---- ---- ---- ----
202211300900 47075  1  3  2  9 80  0 230  8.0  -8.6 -16.4  53.3  985.1 1030.0  7    1.0  -99.0  0 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47090  4  3  6  9 84  0 290  3.5  -2.4 -22.9  19.0 1025.7 1028.0  2    2.2  -99.0  0 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47093  4  3  6  9 70  0 250  3.0  -4.5 -19.8  29.1 1019.7 1032.2  2    2.0  -99.0  0 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47095  4  3  6  9 84  0 270  2.0  -5.8 -19.5  33.0 1012.9 1033.1  2    1.6  -99.0  0 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47097  4  3  6  9 84  0 250  2.5  -3.4 -17.4  32.9 1022.6 1033.0  2    1.4  -99.0  0 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47098  4  3  6  9 81  0 270  3.5  -6.0 -15.2  48.1 1018.2 1033.3  2    1.8  -99.0  0 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47099  4  3  6  9 84  0 320  3.0  -6.2 -15.1  49.3 1030.1 1034.1  2    1.5  -99.0  0 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47100  4  3  6  9 84  0 270  6.5  -9.0 -26.4  22.9  932.8 1029.7  2    2.5  -99.0  0 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47101  4  3  2  9 84  0 250  3.5  -3.7 -19.6  27.9 1022.1 1031.9  2    2.0  -99.0  0 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47102  4  4  1  5 61  6 340  8.0  -4.1  -8.4  72.0 1028.4 1033.1  0    0.9  -99.0  0 70 77  6  5  0  0 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47104  4  3  2  9 70  0  70  1.0  -1.3 -19.8  23.0 1017.9 1027.5  2    2.5  -99.0  0 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47105  4  3  6  9 84  1 290  3.0  -0.5 -17.2  27.0 1024.6 1028.1  2    2.3  -99.0  0 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47106  4  3  6  9 83  2 290  2.5   0.9 -20.1  19.1 1022.7 1027.9  2    2.3  -99.0  0 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47108  4  3  2  9 70  0 270  3.5  -4.8 -14.9  45.0 1021.4 1032.6  2    1.5  -99.0  0 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47112  4  3  2  6 82  1 290  4.5  -5.4 -14.2  49.9 1024.2 1033.2  2    1.4  -99.0  0 -9 -9  1  5  0  0 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47114  4  3  6  9 84  0 270  2.0  -3.1 -17.1  33.0 1012.7 1032.0  2    1.7  -99.0  0 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47115  4  4  1  4 82  6 320  5.0   1.1  -4.5  66.2  997.3 1025.0  2    1.5  -99.0  0 70 72  6  5  0  0 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47119  4  3  2  9 70  0 320  2.5  -5.3 -13.8  51.2 1027.9 1033.1  2    1.1  -99.0  0 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47121  4  3  6  9 84  0 270  1.5  -3.1 -17.8  31.1 1000.1 1030.8  2    2.1  -99.0  0 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47127  4  3  6  9 81  0 270  2.5  -3.5 -18.6  30.0 1016.5 1031.3  1    1.6  -99.0  0 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47129  4  3  6  5 84  9 290  3.0  -3.1 -10.4  57.0 1030.3 1033.6  2    1.4  -99.0  0 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47130  4  3  6  9 84  4 250  5.0  -0.2 -17.4  26.0 1021.2 1027.5  2    2.0  -99.0  0 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
